ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CLL
-9.368,-13.33,-12.68,-19.217,-7.746,12.712,-0.0011
-6.46,-13.33,-12.68,-19.217,-7.746,12.712,-0.0005
-5.318,-13.33,-12.68,-19.217,-7.746,12.712,-0.0001
-3.722,-13.33,-12.68,-19.217,-7.746,12.712,0.0
3.95,-13.33,-12.68,-19.217,-7.746,12.712,0.0005
5.823,-13.33,-12.68,-19.217,-7.746,12.712,-0.0014
6.11,-13.33,-12.68,-19.217,-7.746,12.712,-0.0021
7.194,-13.33,-12.68,-19.217,-7.746,12.712,-0.0093
7.214,-13.33,-12.68,-19.217,-7.746,12.712,-0.0087
8.835,-13.33,-12.68,-19.217,-7.746,12.712,0.0026
10.871,-13.33,-12.68,-19.217,-7.746,12.712,0.0054
13.058,-13.33,-12.68,-19.217,-7.746,12.712,0.0013
-14.235,6.42,1.32,19.379,16.791,-19.211,0.0043
-12.573,6.42,1.32,19.379,16.791,-19.211,0.0008
-11.414,6.42,1.32,19.379,16.791,-19.211,-0.0018
-10.169,6.42,1.32,19.379,16.791,-19.211,-0.0046
-8.181,6.42,1.32,19.379,16.791,-19.211,-0.0085
-0.251,6.42,1.32,19.379,16.791,-19.211,-0.0025
0.422,6.42,1.32,19.379,16.791,-19.211,-0.0027
2.108,6.42,1.32,19.379,16.791,-19.211,-0.0033
3.692,6.42,1.32,19.379,16.791,-19.211,-0.0037
4.355,6.42,1.32,19.379,16.791,-19.211,-0.0039
5.654,6.42,1.32,19.379,16.791,-19.211,-0.0043
5.715,6.42,1.32,19.379,16.791,-19.211,-0.0043
8.88,6.42,1.32,19.379,16.791,-19.211,-0.001
11.146,6.42,1.32,19.379,16.791,-19.211,0.0022
-14.498,7.61,-8.06,14.805,-12.908,6.365,-0.0065
-12.664,7.61,-8.06,14.805,-12.908,6.365,-0.0078
-11.721,7.61,-8.06,14.805,-12.908,6.365,-0.0076
-9.325,7.61,-8.06,14.805,-12.908,6.365,0.0016
-8.516,7.61,-8.06,14.805,-12.908,6.365,0.0049
-8.003,7.61,-8.06,14.805,-12.908,6.365,0.0071
