ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CN
10.871,-13.33,-12.68,-19.217,-7.746,12.712,1.0465
13.058,-13.33,-12.68,-19.217,-7.746,12.712,1.4099
-14.235,6.42,1.32,19.379,16.791,-19.211,-1.6153
-12.573,6.42,1.32,19.379,16.791,-19.211,-1.3453
-11.414,6.42,1.32,19.379,16.791,-19.211,-1.1638
-10.169,6.42,1.32,19.379,16.791,-19.211,-0.9789
-8.181,6.42,1.32,19.379,16.791,-19.211,-0.6935
-0.251,6.42,1.32,19.379,16.791,-19.211,0.2636
0.422,6.42,1.32,19.379,16.791,-19.211,0.3247
2.108,6.42,1.32,19.379,16.791,-19.211,0.4734
3.692,6.42,1.32,19.379,16.791,-19.211,0.6289
4.355,6.42,1.32,19.379,16.791,-19.211,0.6981
5.654,6.42,1.32,19.379,16.791,-19.211,0.8409
5.715,6.42,1.32,19.379,16.791,-19.211,0.8479
8.88,6.42,1.32,19.379,16.791,-19.211,1.2349
11.146,6.42,1.32,19.379,16.791,-19.211,1.5438
-14.498,7.61,-8.06,14.805,-12.908,6.365,-1.8754
-12.664,7.61,-8.06,14.805,-12.908,6.365,-1.5826
-11.721,7.61,-8.06,14.805,-12.908,6.365,-1.438
-9.325,7.61,-8.06,14.805,-12.908,6.365,-1.0862
-8.516,7.61,-8.06,14.805,-12.908,6.365,-0.9725
-8.003,7.61,-8.06,14.805,-12.908,6.365,-0.9014
-7.536,7.61,-8.06,14.805,-12.908,6.365,-0.8376
-5.886,7.61,-8.06,14.805,-12.908,6.365,-0.6198
-4.021,7.61,-8.06,14.805,-12.908,6.365,-0.3848
1.486,7.61,-8.06,14.805,-12.908,6.365,0.2095
3.487,7.61,-8.06,14.805,-12.908,6.365,0.4242
4.871,7.61,-8.06,14.805,-12.908,6.365,0.5858
4.967,7.61,-8.06,14.805,-12.908,6.365,0.5972
9.956,7.61,-8.06,14.805,-12.908,6.365,1.2449
-14.834,7.28,11.33,-7.08,1.519,15.741,-2.1028
-11.361,7.28,11.33,-7.08,1.519,15.741,-1.5794
-9.854,7.28,11.33,-7.08,1.519,15.741,-1.3727
-9.482,7.28,11.33,-7.08,1.519,15.741,-1.3235
-3.892,7.28,11.33,-7.08,1.519,15.741,-0.6186
-2.609,7.28,11.33,-7.08,1.519,15.741,-0.4704
3.5,7.28,11.33,-7.08,1.519,15.741,0.1839
4.539,7.28,11.33,-7.08,1.519,15.741,0.3138
5.373,7.28,11.33,-7.08,1.519,15.741,0.4207
10.278,7.28,11.33,-7.08,1.519,15.741,1.1004
11.86,7.28,11.33,-7.08,1.519,15.741,1.3463
12.079,7.28,11.33,-7.08,1.519,15.741,1.3814
12.096,7.28,11.33,-7.08,1.519,15.741,1.3841
13.305,7.28,11.33,-7.08,1.519,15.741,1.5832
-14.753,7.25,0.336,-8.796,-12.918,-8.191,-2.0001
-12.133,7.25,0.336,-8.796,-12.918,-8.191,-1.5764
-11.065,7.25,0.336,-8.796,-12.918,-8.191,-1.4119
-7.169,7.25,0.336,-8.796,-12.918,-8.191,-0.851
-3.856,7.25,0.336,-8.796,-12.918,-8.191,-0.4232
-3.055,7.25,0.336,-8.796,-12.918,-8.191,-0.328
-2.852,7.25,0.336,-8.796,-12.918,-8.191,-0.3043
-2.14,7.25,0.336,-8.796,-12.918,-8.191,-0.2239
-0.597,7.25,0.336,-8.796,-12.918,-8.191,-0.0649
-0.203,7.25,0.336,-8.796,-12.918,-8.191,-0.0254
0.029,7.25,0.336,-8.796,-12.918,-8.191,-0.0022
1.457,7.25,0.336,-8.796,-12.918,-8.191,0.1417
5.9,7.25,0.336,-8.796,-12.918,-8.191,0.6754
6.095,7.25,0.336,-8.796,-12.918,-8.191,0.7012
-14.475,-12.13,11.347,15.802,-14.101,12.127,-1.8487
-14.019,-12.13,11.347,15.802,-14.101,12.127,-1.7736
-6.24,-12.13,11.347,15.802,-14.101,12.127,-0.6201
-4.335,-12.13,11.347,15.802,-14.101,12.127,-0.3812
-4.077,-12.13,11.347,15.802,-14.101,12.127,-0.3513
-2.294,-12.13,11.347,15.802,-14.101,12.127,-0.1747
-1.612,-12.13,11.347,15.802,-14.101,12.127,-0.1134
-0.669,-12.13,11.347,15.802,-14.101,12.127,-0.0302
0.477,-12.13,11.347,15.802,-14.101,12.127,0.071
5.771,-12.13,11.347,15.802,-14.101,12.127,0.6254
6.978,-12.13,11.347,15.802,-14.101,12.127,0.781
9.467,-12.13,11.347,15.802,-14.101,12.127,1.1215
9.915,-12.13,11.347,15.802,-14.101,12.127,1.1864
13.072,-12.13,11.347,15.802,-14.101,12.127,1.6729
