ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CLN
-9.807,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0307
-8.545,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0332
-6.264,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0349
-1.741,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0312
-0.277,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0324
0.708,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0339
1.132,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0348
4.195,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0439
5.826,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0474
6.539,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0483
8.16,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0491
11.512,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0526
13.993,-8.94,-9.676,-8.605,-11.772,-14.028,-0.0427
-11.173,-5.78,1.149,-4.525,13.196,9.883,-0.0569
-7.914,-5.78,1.149,-4.525,13.196,9.883,-0.0071
-7.453,-5.78,1.149,-4.525,13.196,9.883,0.0007
-7.251,-5.78,1.149,-4.525,13.196,9.883,0.0044
-4.244,-5.78,1.149,-4.525,13.196,9.883,0.037
-1.008,-5.78,1.149,-4.525,13.196,9.883,0.0093
-0.483,-5.78,1.149,-4.525,13.196,9.883,0.0079
1.079,-5.78,1.149,-4.525,13.196,9.883,0.0075
2.358,-5.78,1.149,-4.525,13.196,9.883,0.0108
5.102,-5.78,1.149,-4.525,13.196,9.883,0.027
10.05,-5.78,1.149,-4.525,13.196,9.883,-0.024
10.193,-5.78,1.149,-4.525,13.196,9.883,-0.0261
10.582,-5.78,1.149,-4.525,13.196,9.883,-0.0317
10.67,-5.78,1.149,-4.525,13.196,9.883,-0.033
-12.508,-13.33,-12.68,-19.217,-7.746,12.712,-0.1162
-11.943,-13.33,-12.68,-19.217,-7.746,12.712,-0.1198
-9.368,-13.33,-12.68,-19.217,-7.746,12.712,-0.1367
-6.46,-13.33,-12.68,-19.217,-7.746,12.712,-0.1548
-5.318,-13.33,-12.68,-19.217,-7.746,12.712,-0.1613
-3.722,-13.33,-12.68,-19.217,-7.746,12.712,-0.1661
3.95,-13.33,-12.68,-19.217,-7.746,12.712,-0.1448
5.823,-13.33,-12.68,-19.217,-7.746,12.712,-0.1322
6.11,-13.33,-12.68,-19.217,-7.746,12.712,-0.1285
7.194,-13.33,-12.68,-19.217,-7.746,12.712,-0.0943
7.214,-13.33,-12.68,-19.217,-7.746,12.712,-0.0967
8.835,-13.33,-12.68,-19.217,-7.746,12.712,-0.1463
10.871,-13.33,-12.68,-19.217,-7.746,12.712,-0.1528
13.058,-13.33,-12.68,-19.217,-7.746,12.712,-0.1183
-14.235,6.42,1.32,19.379,16.791,-19.211,0.0131
-12.573,6.42,1.32,19.379,16.791,-19.211,0.04
-11.414,6.42,1.32,19.379,16.791,-19.211,0.0585
-10.169,6.42,1.32,19.379,16.791,-19.211,0.0805
-8.181,6.42,1.32,19.379,16.791,-19.211,0.1114
-0.251,6.42,1.32,19.379,16.791,-19.211,0.0848
0.422,6.42,1.32,19.379,16.791,-19.211,0.0849
2.108,6.42,1.32,19.379,16.791,-19.211,0.0864
3.692,6.42,1.32,19.379,16.791,-19.211,0.0893
4.355,6.42,1.32,19.379,16.791,-19.211,0.0909
5.654,6.42,1.32,19.379,16.791,-19.211,0.0943
5.715,6.42,1.32,19.379,16.791,-19.211,0.0944
8.88,6.42,1.32,19.379,16.791,-19.211,0.0763
11.146,6.42,1.32,19.379,16.791,-19.211,0.0587
-14.498,7.61,-8.06,14.805,-12.908,6.365,0.045
-12.664,7.61,-8.06,14.805,-12.908,6.365,0.0693
-11.721,7.61,-8.06,14.805,-12.908,6.365,0.078
-9.325,7.61,-8.06,14.805,-12.908,6.365,0.0514
-8.516,7.61,-8.06,14.805,-12.908,6.365,0.0419
-8.003,7.61,-8.06,14.805,-12.908,6.365,0.0352
-7.536,7.61,-8.06,14.805,-12.908,6.365,0.0288
-5.886,7.61,-8.06,14.805,-12.908,6.365,0.0085
-4.021,7.61,-8.06,14.805,-12.908,6.365,0.0062
1.486,7.61,-8.06,14.805,-12.908,6.365,0.0306
3.487,7.61,-8.06,14.805,-12.908,6.365,0.0251
4.871,7.61,-8.06,14.805,-12.908,6.365,0.0212
4.967,7.61,-8.06,14.805,-12.908,6.365,0.0211
9.956,7.61,-8.06,14.805,-12.908,6.365,0.0676
-14.834,7.28,11.33,-7.08,1.519,15.741,-0.0016
-11.361,7.28,11.33,-7.08,1.519,15.741,-0.0098
-9.854,7.28,11.33,-7.08,1.519,15.741,-0.011
-9.482,7.28,11.33,-7.08,1.519,15.741,-0.012
-3.892,7.28,11.33,-7.08,1.519,15.741,-0.0258
-2.609,7.28,11.33,-7.08,1.519,15.741,-0.0215
3.5,7.28,11.33,-7.08,1.519,15.741,-0.0112
4.539,7.28,11.33,-7.08,1.519,15.741,-0.0112
5.373,7.28,11.33,-7.08,1.519,15.741,-0.0123
10.278,7.28,11.33,-7.08,1.519,15.741,-0.0234
11.86,7.28,11.33,-7.08,1.519,15.741,-0.0158
12.079,7.28,11.33,-7.08,1.519,15.741,-0.0147
12.096,7.28,11.33,-7.08,1.519,15.741,-0.0146
13.305,7.28,11.33,-7.08,1.519,15.741,-0.0103
-14.753,7.25,0.336,-8.796,-12.918,-8.191,0.0181
-12.133,7.25,0.336,-8.796,-12.918,-8.191,0.0626
-11.065,7.25,0.336,-8.796,-12.918,-8.191,0.0977
-7.169,7.25,0.336,-8.796,-12.918,-8.191,0.0467
-3.856,7.25,0.336,-8.796,-12.918,-8.191,-0.0134
-3.055,7.25,0.336,-8.796,-12.918,-8.191,-0.0198
-2.852,7.25,0.336,-8.796,-12.918,-8.191,-0.0203
-2.14,7.25,0.336,-8.796,-12.918,-8.191,-0.0193
-0.597,7.25,0.336,-8.796,-12.918,-8.191,-0.0138
-0.203,7.25,0.336,-8.796,-12.918,-8.191,-0.0128
0.029,7.25,0.336,-8.796,-12.918,-8.191,-0.0124
1.457,7.25,0.336,-8.796,-12.918,-8.191,-0.0118
5.9,7.25,0.336,-8.796,-12.918,-8.191,0.0074
6.095,7.25,0.336,-8.796,-12.918,-8.191,0.0104
-14.475,-12.13,11.347,15.802,-14.101,12.127,-0.1803
-14.019,-12.13,11.347,15.802,-14.101,12.127,-0.1836
-6.24,-12.13,11.347,15.802,-14.101,12.127,-0.2332
-4.335,-12.13,11.347,15.802,-14.101,12.127,-0.2433
-4.077,-12.13,11.347,15.802,-14.101,12.127,-0.2443
-2.294,-12.13,11.347,15.802,-14.101,12.127,-0.2491
-1.612,-12.13,11.347,15.802,-14.101,12.127,-0.2499
-0.669,-12.13,11.347,15.802,-14.101,12.127,-0.2502
0.477,-12.13,11.347,15.802,-14.101,12.127,-0.2493
5.771,-12.13,11.347,15.802,-14.101,12.127,-0.2335
6.978,-12.13,11.347,15.802,-14.101,12.127,-0.2295
